id,capitulo,seccion,afirmacion,tipo,valor_ciep,fuente_oficial,valor_oficial,coincide,discrepancia,tipo_error,nota
V165,9 Seguridad,Cuadro 12 (p.51),"15 subfunciones con monto: Policía 37,648.63; Protección civil 141.08; Otros orden público 1,806.85; SNSP 8,329.90; Política interior 1,405.27; Función pública 4,335.37; Asuntos jurídicos 141.45; Impartición 77,928.19; Procuración 18,349.50; Reclusión 21,397.02; Derechos humanos 3,487.46; Acceso a la información 898.99; Defensa 102,122.05; Marina 31,492.53; Inteligencia 2,615.59; total 312,099.87",a,,AN función GF+ent por SF,"todas coinciden al décimo; suma 312,099.9",si,,,
V166,9 Seguridad,9.2 (p.50),"Defensa, Impartición de Justicia y Policía = 69.8% del total",b,69.8,"(102,122.05 + 77,928.19 + 37,648.63) / 312,099.87",69.8,si,,,
V167,9 Seguridad,9.2 (p.50),Defensa (subfunción 1.6.1) +23.1% real,b,23.1,"AN: 102,122.0 vs 83,450.1 x1.034",+18.4 real (+22.4 nominal),no,23.1 vs 18.4,contrafactual,Ni real ni nominal reproducen 23.1.
V168,9 Seguridad,9.2 (p.50),Dos de cada diez pesos de Defensa van al aeropuerto de Santa Lucía,b,20,"AN Defensa PP 019: 21,814.8 / 102,122.0",21.4%,si,,,
V169,9 Seguridad,9.2 (p.50),Impartición de Justicia +7.4% real por 5.1 mil millones adicionales en otras actividades,b,7.4; 5.1,"AN 1.2.1: 77,928.2 vs 72,738.3 x1.034 (+3.6 real; +7.1 nominal); Poder Judicial 'Otras actividades' 72,429.3 - 67,305.1 = 5,124 (nominal)","+3.6; 5,124 nominal",no,7.4 vs 3.6,contrafactual,La diferencia de 5.1 mmp es nominal; la tasa 'real' de CIEP se acerca a la nominal.
V170,9 Seguridad,9.2 (p.50),Policía +22.7% real; Sistema Nacional de Seguridad Pública -32.5%,b,22.7; -32.5,"AN 1.7.1: 37,648.6 vs 30,881.1 x1.034 (+17.9 real; +21.9 nominal); 1.7.4: 8,329.9 vs 12,149.7 x1.034 (-33.7 real; -31.4 nominal)",+17.9; -33.7,no,22.7 vs 17.9; -32.5 vs -33.7,contrafactual,Patrón del capítulo: tasas entre la real y la nominal; base 2020 no reproducible.
V171,9 Seguridad,9.2 (p.50),Aumento por apoyo administrativo de la Guardia Nacional; eliminación del FORTASEG,a,,"AN SSPC PP 001 apoyo administrativo 2,063.1 -> 7,875.7; PP 001 Subsidios en materia de seguridad pública 4,000.0 -> 0",coinciden,si,,,
V172,9 Seguridad,9.2 (p.50-52),"49 mil llamadas adicionales por violencia contra mujeres, +46.7% (SESNSP)",a,,(SESNSP: externo),,no_verificable,,,
V173,9 Seguridad,9.2 (p.52),Programa para promover la atención y prevención de la violencia contra las mujeres: crecimiento menor de 0.1% real; ejerce menos que lo aprobado en los últimos cuatro años,a/b,0.1,AN Gobernación PP 015: 300.03 -> 300.16 (+0.04 nominal; -3.2 real); ejercido: Cuentas Públicas no en carpeta,-3.2 real,no,+0.1 vs -3.2,contrafactual,La tasa es nominal presentada como real.
V174,9 Seguridad,9.3 (p.52),"Sin Santa Lucía, apoyo administrativo de la GN y otras actividades de justicia, el aumento real es 1.2%",b,1.2,"AN: 312,099.9 - 15,051.4 - 5,742.5 - 2,835.8 = 288,470.2 vs 291,724.0",-1.1%,no,1.2 vs -1.1,contrafactual,Arrastra la base del +10.9.
V175,9 Seguridad,9.3 (p.52-53),Gasto insuficiente para la Estrategia Nacional; conducción concentrada en la Guardia Nacional,c,,,,,,,Juicio.
V176,10 Ingresos,10.1 (p.56),"CGPE: contracción 2020 entre -7.0 y -10.0, puntual -8; 2021 entre 3.6 y 5.6, puntual 4.6",a,,"CGPE p.41, 109",coinciden,si,,,"Cuadro 13 (FMI, BM, OCDE, Banxico): externos, no verificados."
V177,10 Ingresos,10.1 (p.56),Inflación 3.2% y tasa nominal promedio 4.0% para 2021; petróleo 42 dólares,a,3.2; 4.0; 42,"CGPE p.41, 109: inflación dic/dic 3.0; Cetes promedio 4.0; mezcla 42.1",3.0; 4.0; 42.1,no,3.2 vs 3.0,transcripcion,
V178,10 Ingresos,10.1 (p.56),La ILIF 2021 estima 6 mil 295.7 'mdp' [sic] = 25.2% PIB; 12.0% proviene de deuda,a/b,"6,295.7; 25.2; 12.0","ILIF art.1: 6,295,736.2 mdp; financiamientos 756,789.6","6,295,736.2 mdp; 25.2; 12.0",aprox,unidades (mmp escritos como mdp),transcripcion,
V179,10 Ingresos,10.1 (p.56),Ingresos sin deuda 22.2% PIB; 1.7 puntos del PIB y 3% menores en términos reales a lo estimado en la LIF 2020,a/b,22.2; 1.7; 3,CGPE p.110 (-3.0 real; 2020 aprobado 23.9% con PIB revisado); p.103 (21.0 con PIB de CGPE 2020),22.2; -3.0; 23.9 - 22.2 = 1.7,si,,,Con el PIB original de la LIF 2020 (21.0) la razón sube 1.2 pp; el CGPE presenta ambas.
V180,10 Ingresos,10.1 (p.57),Estructura: tributarios 63.8%; petroleros (Pemex + FMP) 16.9%; organismos y empresas (sin Pemex) 15.6%; no tributarios no petroleros 3.7%,b,,ILIF art.1 / CGPE p.110,63.8; 16.9; 15.6; 3.7,si,,,
V181,10 Ingresos,10.1.1 (p.57),"Tributarios 14.1% PIB, la mayor proporción desde 2010",a/b,14.1,CGPE p.110 (14.1); ILIF exposición PDF X (2016-2020: 13.5; 13.0; 13.0; 13.2; 14.0),14.1; 2016-2020 cumple; 2010-2015 no en carpeta,no_verificable,,,Verificable solo desde 2016 con la carpeta.
V182,10 Ingresos,10.1.1 (p.57),Tributarios -2.6% real vs LIF 2020,a,-2.6,CGPE p.110,-2.6,si,,,
V183,10 Ingresos,10.1.1 (p.57),ISR 34.5% del total; IVA 17.7%; IEPS a gasolinas y diésel 2.9%,b,34.5; 17.7; 2.9,"ILIF art.1: 1,908,813.4; 978,946.5; IEPS combustibles 351,585.8 (6.3% del total); IEPS distinto de combustibles 159,116.9 (2.9%)",34.5; 17.7; 6.3,no,2.9 vs 6.3,transcripcion,El 2.9% corresponde al IEPS no combustibles; etiqueta cambiada.
V184,10 Ingresos,10.1.2 (p.58),No tributarios no petroleros (organismos + derechos y aprovechamientos) 4.2% PIB; +0.3% real vs LIF 2020,b,4.2; 0.3,"(865,058.4 + 204,148.7) / 24,983.9; CGPE p.51: (894.3 + 171.2) -> (865.1 + 204.1)",4.28; +0.35,aprox,0.08 pp,,
V185,10 Ingresos,10.2 (p.58),"Cierre 2020 es 2.6% menor que la 'LIF 2021' [sic, 2020] pese a no recurrentes; no tributarios 2020 +203% vs LIF 2020",b,-2.6; 203,"CGPE p.51: 5,566.4 vs 5,712.9; 518.0 vs 171.2",-2.6; +202.6,si,,,
V186,10 Ingresos,10.2 (p.58),"ILIF 2021 -0.5% vs cierre 2020 por el uso de no recurrentes en 2020; tributarios, petroleros y no tributarios son mayores en la ILIF",a/b,-0.5,CGPE p.111: -0.5; tributarios +5.7; petroleros +13.0; no tributarios -60.6,no tributarios son menores (-60.6),no,'no tributarios mayores' vs -60.6,transcripcion,El sentido de la afirmación sobre no tributarios es el contrario al oficial.
V187,10 Ingresos,10.2 (p.59),FEIP 2020: 236 mil 400 mdp,a,"236,400",CGPE p.51 n.9,236.4 mmp,si,,,
V188,10 Ingresos,10.2 (p.59),IEPS a cigarros y bebidas saborizadas sin actualización inflacionaria en 2021; cuota complementaria de IEPS a gasolinas podrá operar a la inversa,a,,"(Miscelánea fiscal 2021, no en carpeta; la ILIF no contiene las modificaciones a la LIEPS)",,no_verificable,,,
V189,10 Ingresos,10.2 (p.59),Datos abiertos: transitorio 19o. de la LIF 2017; solo se publicaron las declaraciones de 2015,a,,(LIF 2017: externo),,no_verificable,,,
V190,10 Ingresos,10.3 (p.59),Agotamiento del FEIP en 2020 reduce alternativas; necesidad de reforma fiscal,c,,CGPE p.51 (236.4 usados); saldo del FEIP no en carpeta,,,,,Juicio; el CGPE 2021 ya no lista al FEIP entre los amortiguadores (inventario §1.8).
V191,11 Ingresos energía,11.1 (p.62),Ingresos energéticos al cierre 2020: 15% menores que lo planteado en la LIF 2020,b,-15,"CGPE p.51: petroleros est 828.8 vs LIF 1,021.2; CFE est = 1.7% PIB (nota 17 de CIEP) = 392.6 x1.034 = 405.9 vs LIF 418.4 x1.034 = 432.6","(828.8 + 405.9) / (1,021.2 + 432.6) = -15.1",si,,,Reproducible con el supuesto de CFE declarado por CIEP en su nota 17.
V192,11 Ingresos energía,11.2 (p.62),"Petroleros 936,800 mdp; +13% real vs cierre 2020; -8.3% vs LIF 2020",a,,"CGPE p.110-111 (936,765.4; +13.0; -8.3); ILIF art.1: 593,669.4 + 343,039.0 = 936,708.4",coinciden,si,,,ILIF y CGPE difieren en 57 mdp para petroleros.
V193,11 Ingresos energía,11.2 (p.62),Plataforma +6.5% y precio +21.7% vs estimado 2020,b,,"CGPE p.109: 1,744 -> 1,857 mbd; 34.6 -> 42.1 dpb",+6.5; +21.7,si,,,
V194,11 Ingresos energía,Cuadro 14 (p.62),"Pemex 593,669.4 (44%; 9.4% de ILIF); FMP 343,039 (26%; 5.4%); CFE 405,445.1 (30%; 6.4%); petroleros 936,708.4 (70%; 14.9%); energéticos 1,342,153.5 (21.3%)",a/b,,ILIF art.1,coinciden,si,,,
V195,11 Ingresos energía,Cuadro 14 (p.62),Variación real vs LIF 2020: Pemex -0.1; FMP -19.7; CFE -6.3; petroleros -8.3; energéticos -7.7,b,,"CGPE p.51 (Pemex -0.1; FMP -19.6; petroleros -8.3); LIF 2020 CFE 418,398.1 -> 405,445.1 (-6.3)",-0.1; -19.6; -6.3; -8.3; -7.7,si,,,
V196,11 Ingresos energía,Cuadro 14 (p.62),Variación real vs estimado 2020: Pemex 0.7; FMP 43.4; CFE -0.1; petroleros 13; energéticos 8.7,b,,CGPE p.51 (0.7; 43.4; 13.0); CFE por supuesto de CIEP (1.7% PIB),0.7; 43.4; -0.1 (por construcción); 13.0; 8.7,si,,,CFE estimado 2020 no está en el CGPE; CIEP lo deriva y lo declara (nota 17).
V197,11 Ingresos energía,11.2 (p.63),"FMP 343,100 mdp; +43% vs cierre; -20% vs LIF 2020",a,,"ILIF 343,039.0; CGPE p.51 (+43.4; -19.6)",coinciden,si,,,
V198,11 Ingresos energía,11.2 (p.63),"Pemex 2020: afectación marginal de -0.8% vs LIF 2020; 2021: 593,700, +0.7% vs cierre, -0.1% vs LIF",a/b,,CGPE p.51: 589.6 vs 594.3 (-0.8); 593.7 (+0.7; -0.1),coinciden,si,,,
V199,11 Ingresos energía,11.2 (p.63),Ventas de gasolinas y exportación >60% de ingresos de Pemex; venta de electricidad 72% de ingresos de CFE al 2T; 66% del gas consumido importado,a,,(Plan de negocios Pemex; informes CFE: externos),,no_verificable,,,
V200,11 Ingresos energía,11.1 / Resumen,Energéticos 5.4 pp del PIB; 21.3% de los ingresos,b,,"1,342,153.5 / 24,983.9; / 6,295,736.2",5.37; 21.3,si,,,
V201,11 Ingresos energía,11.3 (p.64),Tendencia decreciente desde 2009; los ingresos energéticos no recuperarán niveles precrisis,c,,,,,,,Juicio.
V202,12 Implicaciones,p.66,Ingresos 2021 0.5% menores que el cierre estimado 2020,a,-0.5,CGPE p.111,-0.5,si,,,
V203,12 Implicaciones,p.66,Para 2021 se consideran 1.8% más recursos para salud,a,1.8,Cuadro 7 de CIEP (+1.87); EM p.67-68 perímetro oficial (+1.3),+1.87 con perímetro CIEP; +1.3 con perímetro EM,si,,,Consistente con su cuadro 7; el perímetro oficial da 1.3.
V204,12 Implicaciones,p.66,Crecimiento nulo del gasto educativo; eliminación de programas y reasignación a becas y LEEN,a,,ver cap.4,,si,,,
V205,12 Implicaciones,p.67,"Sin reforma, el gasto en pensiones alcanzará aproximadamente 6% del PIB en 2030",b,6,(proyección propia de CIEP; CGPE p.93 llega a 5.3 en 2026),,no_verificable,,,El horizonte oficial termina en 2026.
V206,12 Implicaciones,p.66-67,Espacio fiscal reducido; reforma fiscal integral; reestructura del gasto hacia ODS; estabilizar la deuda evita trasladar el costo a futuras generaciones,c,,,,,,,Juicio.
