id,capitulo,seccion,afirmacion,tipo,valor_ciep,fuente_oficial,valor_oficial,coincide,discrepancia,nota
V178,10 Federalizado,10.2.2 (p.73),"Ramo 33 759,383.9 (-2,862; -0.38%); 2.89% PIB (2019: 2.96%); solo FAETA (+0.3%) y FASSA (+1.2%) aumentan; FASP -0.3%; resto -0.5%",a,,EM p.188,"759,383.9; -2,633.4 (-0.3%); 2.89%; 2.96%; FASSA +0.3% y FAETA +1.2% (CIEP los invierte); FASP -0.3%; resto -0.5%",aprox,FASSA/FAETA invertidos,
V179,10 Federalizado,10.3 (p.74),"Ramo 28 decreció por la desaparición del programa 'Aportaciones federales para Entidades Federativas y Municipios' de 789,826.7 mdp en 2019",a,"789,826.7",EM p.188 (Ramo 28 solo tiene participaciones),"no existe tal programa en Ramo 28 (analítico: FGP, FFM, FCIAN, otros); cifra no localizable",no,,Incompatible con la estructura del Ramo 28. Posible confusión con Ramo 33.
V180,11 Deuda,Cuadro 11.1 (p.77),Balance -2.0/-2.1; Pidiregas -0.1/-0.1; IPAB -0.1/-0.1; FONADIN 0.0/-0.1; deudores 0.0/0.0; banca de desarrollo 0.0/0.1; adecuaciones -0.3/-0.3; RFSP -2.5/-2.6,a,,CGPE p.120 (2019 aprobado): balance -2.0; Pidiregas -0.1; IPAB -0.1; FONADIN -0.1; deudores 0.0; banca 0.1; adecuaciones -0.3; RFSP -2.5,FONADIN 2019 aprob = -0.1 (CIEP 0.0); banca 2019 aprob = 0.1 (CIEP 0.0),no,dos filas,CIEP mezcla estimado 2019 (FONADIN 0.0) con aprobado en la misma columna.
V181,11 Deuda,11.1 (p.77),RFSP 2.6% (+0.1 vs aprobado 2019); único componente que cambia es FONADIN (+0.1),b,,"CGPE p.70 (RFSP 2.3 base + 0.3 por cláusula de excepción), p.120","RFSP +0.1 vs aprob; el CGPE explica el aumento por la cláusula de excepción (0.3 pp, menor precio del petróleo)",no,,Omite la explicación oficial.
V182,11 Deuda,Figura 11.1 (p.78),21% ingresos - 20.3% gasto sin costo de deuda = primario 0.7%,b,,CGPE p.185,21.0 - (23.1-2.8=20.3) = 0.7,si,,
V183,11 Deuda,11.2 (p.78),Balance primario 1% -> 0.7% por menores ingresos presupuestarios; costo de la deuda 2.9% -> balance 2.1%,a/b,2.9,CGPE p.185 (costo financiero 2.8; ingresos +0.4% real vs aprob; -0.3 pp PIB),balance -2.1 = 0.7-2.8; costo 2020 = 2.8,no,2.9 vs 2.8,Con 2.9 no cierra (0.7-2.9=-2.2). El CGPE atribuye el mayor déficit a la cláusula de excepción.
V184,11 Deuda,11.3 (p.78),Costo de la deuda pasa de 3.1% a 2.9% PIB,a,3.1 -> 2.9,CGPE p.100/185,3.0 (aprob 2019) / 2.9 (estim 2019) -> 2.8 (2020),no,,Ninguna combinación oficial da 3.1 -> 2.9.
V185,11 Deuda,11.4 (p.79),"SHRFSP 45.6% en 2020, tendencia al alza iniciada en 2019",a,45.6,CGPE p.100 (44.9; 45.3; 45.6),si,si,,
V186,11 Deuda,11.4 (p.79),"Deuda per cápita 2020 $94,198 (+3% vs 2018); +0.3% PIB = +$1,705 per cápita",b,"94,198; 1,705","CGPE p.100; 26,254.1 mmp (CGPE p.69); EM p.211 (CONAPO 127.2 M)","45.6%*26,254,100/127.2 M=94,119; 0.3%*26,254,100/127.2 M=619",no,"1,705 vs 619","94,198 cierra con población 127.09 M. Los $1,705 implican 216.9 mmp = 0.83% PIB. 2018 no verificable."
V187,11 Deuda,11.4 (p.79-80),Reestructuración transfiere deuda a generaciones futuras y no estabiliza el saldo,c,,,,,,Juicio.
